,C50,KD1,KD2,cod,gamma,k_dissD,muD
0,3.9310457252507076e-09,1e-08,1e-08,0.9993134409899973,1.1949068806246297,1.0,1.0
1,4.7295376226581e-09,1e-08,1.4873521072935114e-08,0.9993405891261387,1.1903756875242053,1.0,0.6723357536499337
2,5.540864840855378e-09,1e-08,2.2122162910704493e-08,0.9993800967044008,1.17825326849864,1.0,0.45203536563602426
3,6.3276637059814026e-09,1e-08,3.290344562312669e-08,0.9994334172507399,1.1602285603221965,1.0,0.3039195382313197
4,7.056133998503618e-09,1e-08,4.893900918477494e-08,0.999500606924268,1.1386140476471152,1.0,0.20433597178569415
5,7.700975379791553e-09,1e-08,7.278953843983152e-08,0.9995786664617112,1.115772673105404,1.0,0.13738237958832628
6,8.248080010184082e-09,1e-08,1.0826367338740546e-07,0.9996615539560099,1.093674250241535,1.0,0.09236708571873861
7,8.69449898963942e-09,1e-08,1.6102620275609392e-07,0.9997418655743091,1.0736768239361347,1.0,0.06210169418915616
8,9.046237306704736e-09,1e-08,2.3950266199874863e-07,0.9998131133538674,1.0565130061578984,1.0,0.041753189365604
9,9.315012775074947e-09,1e-08,3.562247890262444e-07,0.9998713475075861,1.0424021176784741,1.0,0.028072162039411756
10,9.515073070715903e-09,1e-08,5.29831690628371e-07,0.9999155341124144,1.0312081097201369,1.0,0.018873918221350965
11,9.660743170338978e-09,1e-08,7.880462815669912e-07,0.9999469096807821,1.0225901192724363,1.0,0.012689610031679222
12,9.76490726046355e-09,1e-08,1.1721022975334806e-06,0.9999679238412267,1.0161207597610673,1.0,0.008531678524172805
13,9.838311985350268e-09,1e-08,1.7433288221999892e-06,0.9999812983581602,1.011366451737046,1.0,0.005736152510448675
14,9.889445581455661e-09,1e-08,2.592943797404667e-06,0.9999894415732992,1.0079341260851393,1.0,0.003856620421163472
15,9.924745623018315e-09,1e-08,3.856620421163472e-06,0.9999942119279939,1.0054925107117703,1.0,0.002592943797404667
16,9.948946919044669e-09,1e-08,5.736152510448682e-06,0.9999969128554318,1.003776646008348,1.0,0.001743328822199987
17,9.965452322182205e-09,1e-08,8.531678524172814e-06,0.9999983956457639,1.0025827064446804,1.0,0.0011721022975334794
18,9.9766649398404e-09,1e-08,1.2689610031679234e-05,0.9999991865440975,1.0017585837712148,1.0,0.0007880462815669905
19,9.9842598140485e-09,1e-08,1.8873918221350978e-05,0.9999995969286385,1.0011933868171456,1.0,0.0005298316906283707
20,9.989393173869365e-09,1e-08,2.8072162039411787e-05,0.999999804358707,1.0008077434446114,1.0,0.000356224789026244
21,9.99285737956793e-09,1e-08,4.175318936560405e-05,0.9999999067033082,1.0005456597976834,1.0,0.00023950266199874835
22,9.995192539521768e-09,1e-08,6.210169418915616e-05,0.9999999561434414,1.0003680884884105,1.0,0.00016102620275609394
23,9.996765369716372e-09,1e-08,9.236708571873866e-05,0.9999999796125599,1.0002480496297705,1.0,0.00010826367338740541
24,9.997824142392048e-09,1e-08,0.0001373823795883264,0.9999999906010949,1.0001670365868176,1.0,7.278953843983146e-05
25,9.998536591431663e-09,1e-08,0.00020433597178569438,0.9999999956930093,1.0001124259317453,1.0,4.893900918477489e-05
26,9.999015869901851e-09,1e-08,0.0003039195382313201,0.999999998034758,1.000075643405914,1.0,3.290344562312664e-05
27,9.99933823055808e-09,1e-08,0.00045203536563602503,0.9999999991059428,1.000050883018286,1.0,2.2122162910704457e-05
28,9.999555021781496e-09,1e-08,0.0006723357536499335,0.9999999995940957,1.0000342219458225,1.0,1.4873521072935119e-05
29,9.999700803963584e-09,1e-08,0.001,0.9999999998159768,1.000023013842865,1.0,1e-05
