,C50,KD1,KD2,cod,gamma,k_dissD,muD
0,1.7954272176322394e-07,1e-08,1e-08,0.9999925089476731,15.16678790344283,1.0,1.0
1,1.9027646104440666e-07,1e-08,1.1233240329780275e-08,0.9999923449136924,15.14359929370996,1.0,0.8902150854450386
2,2.0159423738045145e-07,1e-08,1.2618568830660204e-08,0.9999920749217853,15.108300510433903,1.0,0.7924828983539174
3,2.135671111906165e-07,1e-08,1.4174741629268054e-08,0.9999906587286047,15.039019096636926,1.0,0.7054802310718643
4,2.2609017607118035e-07,1e-08,1.5922827933410923e-08,0.99999061479953,14.901569568299779,1.0,0.6280291441834253
5,2.392832500286459e-07,1e-08,1.788649529057435e-08,0.999989436147256,14.755084215769458,1.0,0.5590810182512224
6,2.5313926879917214e-07,1e-08,2.0092330025650475e-08,0.9999877635146655,14.564756158887901,1.0,0.497702356433211
7,2.676211807627587e-07,1e-08,2.2570197196339203e-08,0.999985521940505,14.322873186488502,1.0,0.44306214575838804
8,2.8270173826741996e-07,1e-08,2.535364493970112e-08,0.9999825591690538,14.033505594152508,1.0,0.39442060594376555
9,2.983498459562809e-07,1e-08,2.8480358684358016e-08,0.9999782743239647,13.684895129576915,1.0,0.35111917342151316
10,3.1447115825626294e-07,1e-08,3.199267137797384e-08,0.9999721762119145,13.286639073108455,1.0,0.3125715849688236
11,3.309263033421807e-07,1e-08,3.593813663804628e-08,0.9999636613985013,12.817900060685892,1.0,0.2782559402207124
12,3.474155927918538e-07,1e-08,4.0370172585965546e-08,0.9999545791674413,12.279448814355467,1.0,0.24770763559917108
13,3.638132567048394e-07,1e-08,4.534878508128582e-08,0.9999403198832618,11.68118280307408,1.0,0.22051307399030456
14,3.7967688407023014e-07,1e-08,5.094138014816379e-08,0.9999209601279896,11.011138988951625,1.0,0.19630406500402708
15,3.9444560479720155e-07,1e-08,5.7223676593502175e-08,0.9998959012181284,10.285139393661927,1.0,0.17475284000076838
16,4.074901875592956e-07,1e-08,6.428073117284321e-08,0.9998628500503625,9.509558062294877,1.0,0.1555676143930472
17,4.1802397505551126e-07,1e-08,7.220809018385464e-08,0.9998195913687072,8.695264943069589,1.0,0.1384886371393873
18,4.249668283165831e-07,1e-08,8.11130830789687e-08,0.9997686436587507,7.8660112185171975,1.0,0.12328467394420663
19,4.2719222489130267e-07,1e-08,9.111627561154892e-08,0.9997141130710492,7.055125283905112,1.0,0.10974987654930562
20,4.2363014862394617e-07,1e-08,1.0235310218990263e-07,0.9996687136468112,6.289123576809796,1.0,0.09770099572992252
21,4.135184722290679e-07,1e-08,1.1497569953977356e-07,0.9996535153806085,5.607124529228272,1.0,0.08697490026177834
22,3.966686332249257e-07,1e-08,1.291549665014884e-07,0.9996889248842796,5.0417189637361846,1.0,0.0774263682681127
23,3.7417749619967415e-07,1e-08,1.4508287784959396e-07,0.9997669863754106,4.615797253054619,1.0,0.06892612104349698
