,C50,KD1,KD2,cod,gamma,k_dissD,muD
0,3.916060500710039e-09,1e-08,1e-08,0.999262210773788,1.1911143517267435,1.0,1.0
1,4.1455402967882846e-09,1e-08,1.1233240329780275e-08,0.9992689813695718,1.1905961840195936,1.0,0.8902150854450386
2,4.3783189809270526e-09,1e-08,1.2618568830660204e-08,0.9992768452396696,1.1893785096898237,1.0,0.7924828983539174
3,4.613511287753786e-09,1e-08,1.4174741629268054e-08,0.9992858577511708,1.187473752629956,1.0,0.7054802310718643
4,4.850196771658564e-09,1e-08,1.5922827933410923e-08,0.9992960322061603,1.1849047079090775,1.0,0.6280291441834253
5,5.0874228569262425e-09,1e-08,1.788649529057435e-08,0.9993073971202987,1.1817004657626704,1.0,0.5590810182512224
6,5.3242433247931615e-09,1e-08,2.0092330025650475e-08,0.999320017546541,1.177901760505691,1.0,0.497702356433211
7,5.559707380873785e-09,1e-08,2.2570197196339203e-08,0.9993339137189426,1.17355486095674,1.0,0.44306214575838804
8,5.7928783114081295e-09,1e-08,2.535364493970112e-08,0.9993491433717491,1.168710480097177,1.0,0.39442060594376555
9,6.022853258968222e-09,1e-08,2.8480358684358016e-08,0.999365731592751,1.1634248858731495,1.0,0.35111917342151316
10,6.248773539930534e-09,1e-08,3.199267137797384e-08,0.9993836500357324,1.1577582334574779,1.0,0.3125715849688236
11,6.469823950081433e-09,1e-08,3.593813663804628e-08,0.9994029027359246,1.1517707048886126,1.0,0.2782559402207124
12,6.685262119433157e-09,1e-08,4.0370172585965546e-08,0.9994234711498021,1.14552240212059,1.0,0.24770763559917108
13,6.8944122851913704e-09,1e-08,4.534878508128582e-08,0.999445278425491,1.1390759398514816,1.0,0.22051307399030456
14,7.0966831719328045e-09,1e-08,5.094138014816379e-08,0.9994682059273508,1.1324912050780962,1.0,0.19630406500402708
15,7.291554091698822e-09,1e-08,5.7223676593502175e-08,0.9994921532393352,1.1258241880454956,1.0,0.17475284000076838
16,7.478601037110006e-09,1e-08,6.428073117284321e-08,0.9995169642979932,1.1191259154518851,1.0,0.1555676143930472
17,7.657489541499275e-09,1e-08,7.220809018385464e-08,0.9995424639440517,1.1124482180466733,1.0,0.1384886371393873
18,7.827965384581145e-09,1e-08,8.11130830789687e-08,0.9995685131413176,1.1058342787184159,1.0,0.12328467394420663
19,7.989859615230816e-09,1e-08,9.111627561154892e-08,0.9995948683480641,1.0993230900209825,1.0,0.10974987654930562
20,8.143089742523138e-09,1e-08,1.0235310218990263e-07,0.9996213347433224,1.0929525850842357,1.0,0.09770099572992252
21,8.28764151299893e-09,1e-08,1.1497569953977356e-07,0.9996477068835445,1.0867509679468592,1.0,0.08697490026177834
22,8.423575309313213e-09,1e-08,1.291549665014884e-07,0.9996737955923385,1.0807447163850106,1.0,0.0774263682681127
23,8.551009479409755e-09,1e-08,1.4508287784959396e-07,0.9996993882379416,1.074954075448983,1.0,0.06892612104349698
24,8.67012181316297e-09,1e-08,1.629750834620644e-07,0.9997243225900757,1.0693962022582375,1.0,0.061359072734131735
25,8.781145925900262e-09,1e-08,1.830738280295368e-07,0.9997484367534817,1.0640826147765083,1.0,0.05462277217684342
26,8.88435004117236e-09,1e-08,2.0565123083486517e-07,0.99977159166995,1.0590231050909709,1.0,0.04862601580065353
27,8.980019052685704e-09,1e-08,2.3101297000831593e-07,0.999793670668736,1.0542222631979192,1.0,0.04328761281083059
28,9.068493915472398e-09,1e-08,2.595024211399736e-07,0.9998145732110574,1.049682832512445,1.0,0.0385352859371053
29,9.150118489746786e-09,1e-08,2.915053062825176e-07,0.9998342334420842,1.0454037085314358,1.0,0.03430469286314919
